Street,City,State,ZIP Code,Price,Beds,Baths,Square Feet,URL,Coordinates,Drive Time (mins),Distance (miles),Flood Zone
2746 Annette Dr,Marrero,LA,70072,199900,3,2.0,1481,https://www.redfin.com/LA/Marrero/2746-Annette-Dr-70072/home/79414042,"29.83467599835, -90.110577964275",23.1,13.4,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
805 Avenue A,Marrero,LA,70072,215000,3,2.5,1650,https://www.redfin.com/LA/Marrero/805-Avenue-A-70072/home/85130452,"29.897330012125, -90.09320596703",14.1,8.3,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
825 Matador Dr,Terrytown,LA,70056,210000,3,2.0,1380,https://www.redfin.com/LA/Gretna/825-Matador-Dr-70056/home/85177226,"29.89327899641, -90.020027006986",13.5,6.8,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
1245 Angus Dr,Harvey,LA,70058,79000,5,3.0,2025,https://www.redfin.com/LA/Harvey/1245-Angus-Dr-70058/home/85194652,"29.892548010635, -90.06963002033",13.2,7.1,X (0.2 PCT ANNUAL CHANCE FLOOD HAZARD)
2920 Surfwood Dr,Gretna,LA,70056,217000,3,2.0,1368,https://www.redfin.com/LA/Gretna/2920-Surfwood-Dr-70056/home/85116279,"29.876844012121, -90.025800964807",16.6,8.3,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
3061 Sorbonne Dr,Marrero,LA,70072,217000,4,2.0,1900,https://www.redfin.com/LA/Marrero/3061-Sorbonne-Dr-70072/home/79179704,"29.850420020451, -90.120279011373",21.4,12.3,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
208 Amapola Cir,Terrytown,LA,70056,190000,3,2.0,1879,https://www.redfin.com/LA/Terrytown/208-Amapola-Cir-70056/home/85219685,"29.917002003601, -90.032357038014",9.5,4.6,X (0.2 PCT ANNUAL CHANCE FLOOD HAZARD)
83 Oakland Ave,Harahan,LA,70123,155000,3,2.0,1653,https://www.redfin.com/LA/New-Orleans/83-Oakland-Ave-70123/home/85193197,"29.933667993142, -90.197048024366",18.2,9.3,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
4064 S Woodbine St,Harvey,LA,70058,130000,3,2.0,2026,https://www.redfin.com/LA/Harvey/4064-S-Woodbine-St-70058/home/85125749,"29.863240979548, -90.086146979633",20.1,10.7,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
3913 Civic St,Metairie,LA,70001,179000,3,2.0,1442,https://www.redfin.com/LA/Metairie/3913-Civic-St-70001/home/85162170,"29.980512983157, -90.17082800631",13.2,6.4,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
2800 Cardinal Dr,Marrero,LA,70072,220000,3,4.0,1350,https://www.redfin.com/LA/Marrero/2800-Cardinal-Dr-70072/home/79451769,"29.857914992542, -90.09349598088",19.6,11.1,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
