Street,City,State,ZIP Code,Price,Beds,Baths,Square Feet,URL,Coordinates,Drive Time (mins),Distance (miles)
128 Evergold Ln,Westwego,LA,70094,130000,4,2,1300,https://www.redfin.com/LA/Westwego/128-Evergold-Ln-70094/home/79402961,"29.94706801602, -90.236402987613",29.5,15.6
2746 Annette Dr,Marrero,LA,70072,199900,3,2,1481,https://www.redfin.com/LA/Marrero/2746-Annette-Dr-70072/home/79414042,"29.83467599835, -90.110577964275",23.1,13.4
805 Avenue A,Marrero,LA,70072,215000,3,2.5,1650,https://www.redfin.com/LA/Marrero/805-Avenue-A-70072/home/85130452,"29.897330012125, -90.09320596703",14.1,8.3
825 Matador Dr,Terrytown,LA,70056,210000,3,2,1380,https://www.redfin.com/LA/Gretna/825-Matador-Dr-70056/home/85177226,"29.89327899641, -90.020027006986",13.5,6.8
1245 Angus Dr,Harvey,LA,70058,79000,5,3,2025,https://www.redfin.com/LA/Harvey/1245-Angus-Dr-70058/home/85194652,"29.892548010635, -90.06963002033",13.2,7.1
809 Lawrence St,Gretna,LA,70056,195000,4,2.5,2678,https://www.redfin.com/LA/Gretna/809-Lawrence-St-70056/home/85220896,"29.872533995599, -90.035521038824",17.7,8.9
2920 Surfwood Dr,Gretna,LA,70056,217000,3,2,1368,https://www.redfin.com/LA/Gretna/2920-Surfwood-Dr-70056/home/85116279,"29.876844012121, -90.025800964807",16.6,8.3
3061 Sorbonne Dr,Marrero,LA,70072,217000,4,2,1900,https://www.redfin.com/LA/Marrero/3061-Sorbonne-Dr-70072/home/79179704,"29.850420020451, -90.120279011373",21.4,12.3
208 Amapola Cir,Terrytown,LA,70056,190000,3,2,1879,https://www.redfin.com/LA/Terrytown/208-Amapola-Cir-70056/home/85219685,"29.917002003601, -90.032357038014",9.5,4.6
83 Oakland Ave,Harahan,LA,70123,155000,3,2,1653,https://www.redfin.com/LA/New-Orleans/83-Oakland-Ave-70123/home/85193197,"29.933667993142, -90.197048024366",18.2,9.3
4064 S Woodbine St,Harvey,LA,70058,130000,3,2,2026,https://www.redfin.com/LA/Harvey/4064-S-Woodbine-St-70058/home/85125749,"29.863240979548, -90.086146979633",20.1,10.7
3913 Civic St,Metairie,LA,70001,179000,3,2,1442,https://www.redfin.com/LA/Metairie/3913-Civic-St-70001/home/85162170,"29.980512983157, -90.17082800631",13.2,6.4
2800 Cardinal Dr,Marrero,LA,70072,220000,3,4,1350,https://www.redfin.com/LA/Marrero/2800-Cardinal-Dr-70072/home/79451769,"29.857914992542, -90.09349598088",19.6,11.1
213 Travis Dr,Westwego,LA,70094,183750,3,2,1217,https://www.redfin.com/LA/Westwego/213-Travis-Dr-70094/home/85229933,"29.913681009744, -90.218795039793",24.7,13.5
3105 Primwood Dr,Harvey,LA,70059,185000,4,2,1770,https://www.redfin.com/LA/Harvey/3105-Primwood-Dr-70058/home/85128827,"29.842337979862, -90.070153973098",21.9,11.6
1307 Solon St,Gretna,LA,70053,150000,4,3,1560,https://www.redfin.com/LA/Gretna/1307-Solon-St-70053/home/85115649,"29.923282018827, -90.044068987502",9.2,4.4
133 Creagan Ave,Gretna,LA,70053,199900,3,1.5,1400,https://www.redfin.com/LA/Gretna/133-Creagan-Ave-70053/home/85114519,"29.889162015118, -90.044645997716",14.1,7.0
