Street,City,State,ZIP Code,Price,Beds,Baths,Square Feet,URL
128 Evergold Ln,Westwego,LA,70094,130000,4,2,1300,https://www.redfin.com/LA/Westwego/128-Evergold-Ln-70094/home/79402961
2746 Annette Dr,Marrero,LA,70072,199900,3,2,1481,https://www.redfin.com/LA/Marrero/2746-Annette-Dr-70072/home/79414042
805 Avenue A,Marrero,LA,70072,215000,3,2.5,1650,https://www.redfin.com/LA/Marrero/805-Avenue-A-70072/home/85130452
825 Matador Dr,Terrytown,LA,70056,210000,3,2,1380,https://www.redfin.com/LA/Gretna/825-Matador-Dr-70056/home/85177226
1245 Angus Dr,Harvey,LA,70058,79000,5,3,2025,https://www.redfin.com/LA/Harvey/1245-Angus-Dr-70058/home/85194652
809 Lawrence St,Gretna,LA,70056,195000,4,2.5,2678,https://www.redfin.com/LA/Gretna/809-Lawrence-St-70056/home/85220896
2920 Surfwood Dr,Gretna,LA,70056,217000,3,2,1368,https://www.redfin.com/LA/Gretna/2920-Surfwood-Dr-70056/home/85116279
3061 Sorbonne Dr,Marrero,LA,70072,217000,4,2,1900,https://www.redfin.com/LA/Marrero/3061-Sorbonne-Dr-70072/home/79179704
208 Amapola Cir,Terrytown,LA,70056,190000,3,2,1879,https://www.redfin.com/LA/Terrytown/208-Amapola-Cir-70056/home/85219685
83 Oakland Ave,Harahan,LA,70123,155000,3,2,1653,https://www.redfin.com/LA/New-Orleans/83-Oakland-Ave-70123/home/85193197
4064 S Woodbine St,Harvey,LA,70058,130000,3,2,2026,https://www.redfin.com/LA/Harvey/4064-S-Woodbine-St-70058/home/85125749
3913 Civic St,Metairie,LA,70001,179000,3,2,1442,https://www.redfin.com/LA/Metairie/3913-Civic-St-70001/home/85162170
2800 Cardinal Dr,Marrero,LA,70072,220000,3,4,1350,https://www.redfin.com/LA/Marrero/2800-Cardinal-Dr-70072/home/79451769
213 Travis Dr,Westwego,LA,70094,183750,3,2,1217,https://www.redfin.com/LA/Westwego/213-Travis-Dr-70094/home/85229933
3105 Primwood Dr,Harvey,LA,70059,185000,4,2,1770,https://www.redfin.com/LA/Harvey/3105-Primwood-Dr-70058/home/85128827
1307 Solon St,Gretna,LA,70053,150000,4,3,1560,https://www.redfin.com/LA/Gretna/1307-Solon-St-70053/home/85115649
133 Creagan Ave,Gretna,LA,70053,199900,3,1.5,1400,https://www.redfin.com/LA/Gretna/133-Creagan-Ave-70053/home/85114519
1013 S Starrett Rd,Metairie,LA,70003,210000,3,2,1300,https://www.redfin.com/LA/Metairie/1013-S-Starrett-Rd-70003/home/79282200
3520 Hero Dr,Gretna,LA,70056,195000,3,1.5,1220,https://www.redfin.com/LA/Gretna/3520-Hero-Dr-70053/home/79450845
146 Elodie Ave,Harahan,LA,70123,187900,3,2,1571,https://www.redfin.com/LA/New-Orleans/146-Elodie-Ave-70123/home/85193747
1151 Avenue D Ave,Westwego,LA,70094,175000,2,1.5,1327,https://www.redfin.com/LA/Westwego/1151-Avenue-D-70094/home/79217609
2114 Ninth St,Kenner,LA,70062,125000,4,2,1426,https://www.redfin.com/LA/Kenner/2114-9th-St-70062/home/85190044
4900 Argonne St,Metairie,LA,70001,210000,3,2,1500,https://www.redfin.com/LA/Metairie/4900-Argonne-St-70001/home/85162282
5425 Tulip Ct,Marrero,LA,70072,160000,3,2,1426,https://www.redfin.com/LA/Marrero/5425-Tulip-Ct-70072/home/79448104
733 Morningside Dr,Terrytown,LA,70056,209000,4,2.5,1620,https://www.redfin.com/LA/Gretna/733-Morningside-Dr-70056/home/85117572
1638 Stafford St,Gretna,LA,70053,175000,3,2,1320,https://www.redfin.com/LA/Gretna/1638-Stafford-St-70053/home/79336003
9416 Cabildo Ln,Westwego,LA,70094,99900,4,2,1411,https://www.redfin.com/LA/Westwego/9416-Cabildo-Ln-70094/home/85141502
1345 Avenue C,Marrero,LA,70072,220000,4,2.5,1762,https://www.redfin.com/LA/Marrero/1345-Avenue-C-70072/home/79177944
2404 Timbers Dr,Harvey,LA,70058,219000,3,2,1487,https://www.redfin.com/LA/Harvey/2404-Timbers-Dr-70058/home/85223838
2141 Esplanade Pl,Gretna,LA,70056,199000,3,2,1951,https://www.redfin.com/LA/Gretna/2141-Esplanade-Pl-70056/home/85118092
840 Morningside Dr,Gretna,LA,70056,185000,3,2,1410,https://www.redfin.com/LA/Gretna/840-Morningside-Dr-70056/home/85117331
1523 West Dr,Westwego,LA,70094,199990,2,2,1200,https://www.redfin.com/LA/Westwego/1523-West-Dr-70094/home/85228276
4967 A Jean Lafitte Blvd,Lafitte,LA,70067,73000,3,2,1800,https://www.redfin.com/LA/Lafitte/4967a-Jean-Lafitte-Blvd-70067/home/188995504
117 Baylor Pl,Kenner,LA,70065,205000,3,2,1284,https://www.redfin.com/LA/Kenner/117-Baylor-Pl-70065/home/85191547
1620 Maplewood Dr,Harvey,LA,70058,190000,3,2,1300,https://www.redfin.com/LA/Harvey/1620-Maplewood-Dr-70058/home/85124642
5504 Sabine Dr,Marrero,LA,70072,200000,4,2,1832,https://www.redfin.com/LA/Marrero/5504-Sabine-Dr-70072/home/77305494
1321 Trudeau Dr,Metairie,LA,70003,199000,4,2,1700,https://www.redfin.com/LA/Metairie/1321-Trudeau-Dr-70003/home/85177821
885 Oakwood Dr,Terrytown,LA,70056,145900,3,2,1457,https://www.redfin.com/LA/Gretna/885-Oakwood-Dr-70056/home/85119100
672 Wiegand Dr,Westwego,LA,70094,220000,4,2,1307,https://www.redfin.com/LA/Westwego/672-Wiegand-Dr-70094/home/85142248
2232 Kansas Ave,Kenner,LA,70062,175900,4,2,2400,https://www.redfin.com/LA/Kenner/2232-Kansas-Ave-70062/home/85186056
713 Lydia Ct,Marrero,LA,70072,199900,3,1.5,1422,https://www.redfin.com/LA/Marrero/713-Lydia-Ct-70072/home/85130461
80 Nassau Ave,Kenner,LA,70065,213750,3,2,2252,https://www.redfin.com/LA/Kenner/80-Nassau-Ave-70065/home/85181330
316 Capital Dr,Avondale,LA,70094,195000,3,2,1420,https://www.redfin.com/LA/Westwego/316-Capitol-Dr-70094/home/85144140
340 Azalea Dr,Waggaman,LA,70094,205000,4,2,1670,https://www.redfin.com/LA/Westwego/340-Azalea-Dr-70094/home/85143430
6444 Millender Dr,Marrero,LA,70072,194000,4,2,1417,https://www.redfin.com/LA/Marrero/6444-Millender-Dr-70072/home/85198241
6735 W Magnolia Blvd,Harahan,LA,70123,219000,3,2.5,1524,https://www.redfin.com/LA/New-Orleans/6735-W-Magnolia-Blvd-70123/home/85192647
1207 Kepler St,Gretna,LA,70053,217500,3,2,1385,https://www.redfin.com/LA/Gretna/1207-Kepler-St-70053/home/85115519
632 Fairlawn Dr,Terrytown,LA,70056,195000,2,1.5,1747,https://www.redfin.com/LA/Gretna/632-Fairlawn-Dr-70056/home/85118503
3760 W Louisiana State Dr,Kenner,LA,70065,210000,3,2,1348,https://www.redfin.com/LA/Kenner/3760-W-Louisiana-State-Dr-70065/home/195481151
1208 Maine Ave,Kenner,LA,70062,130000,3,2,1244,https://www.redfin.com/LA/Kenner/1208-Maine-Ave-70062/home/79304365
2620 Jupiter St,Harvey,LA,70058,175000,3,2.5,1990,https://www.redfin.com/LA/Harvey/2620-Jupiter-St-70058/home/85124388
136 Felicia Dr,Avondale,LA,70094,179900,4,2,1506,https://www.redfin.com/LA/Westwego/136-Felicia-Dr-70094/home/85229849
3148 Keithway Dr,Harvey,LA,70058,219500,4,2,2196,https://www.redfin.com/LA/Harvey/3148-Keith-Way-Dr-70058/home/85128782
1518 Ames Blvd,Marrero,LA,70072,154900,3,2,1353,https://www.redfin.com/LA/Marrero/1518-Ames-Blvd-70072/home/79190241
1724 Westminster Blvd,Marrero,LA,70072,205000,3,2,1690,https://www.redfin.com/LA/Marrero/1724-Westminister-Blvd-70072/home/85176798
1915 Illinois Ave,Kenner,LA,70062,220000,3,2,1200,https://www.redfin.com/LA/Kenner/1915-Illinois-Ave-70062/home/85187085
508 Ruth Dr,Avondale,LA,70094,190000,4,2.5,1800,https://www.redfin.com/LA/Westwego/508-Ruth-Dr-70094/home/85144739
625 W Niagara Cir,Terrytown,LA,70056,215000,3,2.5,1630,https://www.redfin.com/LA/Gretna/625-W-Niagara-Cir-70056/home/85116891
1805 Plaza Dr,Marrero,LA,70072,125000,3,2.5,2612,https://www.redfin.com/LA/Marrero/1805-Plaza-Dr-70072/home/85135501
374 Helis Dr,Waggaman,LA,70094,145000,3,3,1555,https://www.redfin.com/LA/Westwego/374-Helis-Dr-70094/home/85143161
4133 E Loyola Dr,Kenner,LA,70065,218500,3,2,1262,https://www.redfin.com/LA/Kenner/4133-E-Loyola-Dr-70065/home/85183861
9005 Camille Ct,River Ridge,LA,70123,199999,3,1.5,1745,https://www.redfin.com/LA/New-Orleans/9005-Camille-Ct-70123/home/85176318
525 Farmington Dr,Gretna,LA,70056,199900,4,2,1684,https://www.redfin.com/LA/Gretna/525-Farmington-Pl-70056/home/85220920
1009 S Bengal Rd,Metairie,LA,70003,220000,3,2,1219,https://www.redfin.com/LA/Metairie/1009-S-Bengal-Rd-70003/home/85176706
2633 Max Dr,Harvey,LA,70058,75000,4,3.5,2800,https://www.redfin.com/LA/Harvey/2633-Max-Dr-70058/home/85128135
815 Colony Pl,Metairie,LA,70003,214900,5,3.5,3096,https://www.redfin.com/LA/Metairie/815-Colony-Pl-70003/home/85163047
3424 Camphor St,New Orleans,LA,70118,215000,2,2.5,1491,https://www.redfin.com/LA/New-Orleans/3424-Camphor-St-70118/home/85500153
1913 Estalote Ave,Harvey,LA,70058,140000,4,2,1668,https://www.redfin.com/LA/Harvey/1913-Estalote-Ave-70058/home/85122929
181 Medical Ave,Grand Isle,LA,70358,129900,4,2,1540,https://www.redfin.com/LA/Grand-Isle/181-Medical-Ave-70358/home/85231343
756 Mystic Ave,Gretna,LA,70056,180000,3,2,1512,https://www.redfin.com/LA/Gretna/756-Mystic-Ave-70056/home/85220691
341 Gerrie Ct,Avondale,LA,70094,169900,4,1.5,1249,https://www.redfin.com/LA/Westwego/341-Gerrie-Ct-70094/home/85143511
2039 Spanish Oaks Dr,Harvey,LA,70058,119900,3,2,3000,https://www.redfin.com/LA/Harvey/2039-Spanish-Oaks-Dr-70058/home/85196369
1677 Plaza Dr,Marrero,LA,70072,120000,3,2.5,1500,https://www.redfin.com/LA/Marrero/1677-Plaza-Dr-70072/home/85136014
30 Furman Cir,Kenner,LA,70065,210000,4,2,1435,https://www.redfin.com/LA/Kenner/30-Furman-Cir-70065/home/85183777
618 Avenue H Ave,Westwego,LA,70094,158000,3,2,1781,https://www.redfin.com/LA/Westwego/618-Avenue-H-70094/home/79351909
1979 Palmetto St,Lafitte,LA,70067,190000,3,2,1306,https://www.redfin.com/LA/Lafitte/1979-Palmetto-St-70067/home/85230611
2109 James Dr,Marrero,LA,70072,210000,3,2,1324,https://www.redfin.com/LA/Marrero/2109-James-Dr-70072/home/85225796
2552 E Catawba Dr,Harvey,LA,70058,220000,3,2,1658,https://www.redfin.com/LA/Harvey/2552-E-Catawba-Dr-70058/home/79348482
